quality_measure	similarity_measure	upperbound_type	attr_items	attr_users	attr_aggregate	#attr_items	#attr_users	#attr_aggregate	#ratings	#items	#users1	#users2	#usersagg_1	#usersagg_2	sigma_context	sigma_u1	sigma_u2	sigma_agg_u1	sigma_agg_u2	closed	prune	sigma_quality	top_k	#all_visited_context	#candidates	#init	#timespent	#patterns	max_quality_found
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	1	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	7327	200	824	824	4	4	5.0	5	5	1	1	True	True	0.0	5	533	138	0.30099987983703613	0.30299997329711914	5	0.16433924926790677
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	7327	200	824	824	4	4	5.0	5	5	1	1	True	True	0.0	5	482	131	0.29400014877319336	0.2969999313354492	5	0.16433924926790677
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	1	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	14541	500	869	869	4	4	5.0	5	5	1	1	True	True	0.0	5	787	205	0.6600000858306885	0.7130000591278076	5	0.12842035986321565
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	14541	500	869	869	4	4	5.0	5	5	1	1	True	True	0.0	5	703	190	0.6460001468658447	0.7159998416900635	5	0.12842035986321565
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	1	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	52879	1000	943	943	4	4	5.0	5	5	1	1	True	True	0.0	5	1678	447	1.5	1.6339998245239258	5	0.2847996865332677
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	52879	1000	943	943	4	4	5.0	5	5	1	1	True	True	0.0	5	1387	412	1.4779999256134033	1.6340000629425049	5	0.2847996865332677
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	1	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	91453	1500	943	943	4	4	5.0	5	5	1	1	True	True	0.0	5	2604	647	2.240000009536743	2.560999870300293	5	0.15391989469011025
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	91453	1500	943	943	4	4	5.0	5	5	1	1	True	True	0.0	5	2180	607	2.2079999446868896	2.628999948501587	5	0.15391989469011025
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	1	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	99991	1681	943	943	4	4	5.0	5	5	1	1	True	True	0.0	5	2668	698	2.455000162124634	2.803999900817871	5	0.17233834294156147
DISAGR_SUMDIFF	AVG_RANKING_SIMPLE	2	[('genres', 'themes')]	[('ageGroup', 'simple')]	[['ageGroup']]	1	1	1	99991	1681	943	943	4	4	5.0	5	5	1	1	True	True	0.0	5	2219	655	2.440000057220459	2.7929999828338623	5	0.17233834294156147
